layer_cycle_time_s,n_max,n_max_sf,print_time_min
24.734982238938702,26.888361123757253,16.136849656529805,32.97997631858494
25.20442832003603,27.059139957543767,16.19820343644662,33.60590442671471
25.682784034499136,27.23540606521455,16.26120342967194,34.243712045998855
26.170218478566962,27.41739553993919,16.3259052013174,34.89362463808928
26.666903957761843,27.605357968812633,16.39236674127567,35.555871943682455
27.173016047798566,27.79955741233431,16.460648597966426,36.23068806373142
27.688733656649422,28.000273470530914,16.53081402105708,36.918311542199234
28.214239087787334,28.207802444798972,16.602929113869166,37.618985450383114
28.749718104629075,28.422458605645488,16.67706299624625,38.332957472838764
29.29535999620175,28.644575577761696,16.753287978731052,39.06047999493567
29.85135764405544,28.874507855297743,16.83167974897903,39.80181019207392
30.417907590445775,29.112632461844644,16.912317571423408,40.55721012059437
30.995210107810674,29.359350771507,16.99528450130411,41.326946810414235
31.583469269565576,29.615090509604364,17.080667614281026,42.111292359420766
32.18289302224225,29.88030795401803,17.16855825297198,42.91052402965633
32.79369325899691,30.155490361058273,17.25905229188923,43.724924345329214
33.41608589451331,30.441158643029326,17.352250422396708,44.554781192684416
34.05029094132737,30.737870328495767,17.448258459475827,45.40038792176983
34.69653258760058,31.04622284069636,17.5471876722726,46.26204345013411
35.355039276369226,31.366857134723116,17.649155140605064,47.1400523684923
36.026043786297905,31.700461740120176,17.754284139841623,48.03472504839721
36.7097833139655,32.04777726262182,17.862704556819875,48.946377751953996
37.40649955771297,32.40960140704062,17.97455333976648,49.87533274361729
38.11643880308235,32.786794593076955,18.089974985505986,50.82191840410981
38.83985200987758,33.18028624734341,18.209122067614715,51.78646934650344
39.57699490087727,33.59108186854419,18.332155809591402,52.769326534503016
40.328128052231534,34.02027097896438,18.459246707585766,53.77083740297538
41.093516985574226,34.46903609475379,18.590575207757137,54.79135598076564
41.8734322618834,34.938662870617286,18.7263324439376,55.831243015844535
42.66814957712328,35.43055160229319,18.866721041957643,56.89086610283104
43.47794985970133,35.94623030367268,19.01195599777016,57.97059981293511
44.30311936977488,36.48736961591924,19.16226563739517,59.070825826366516
45.14394980044271,37.055799855167955,19.317892667720002,60.191933067256954
46.000738380857,37.653530565454346,19.47909532834802,61.33431784114267
46.87378798129218,38.282773017167216,19.646148656017143,62.49838397505625
47.76340722020817,38.945966182033715,19.819345874635705,63.68454296027756
48.6699105733452,39.6458068279398,19.998999925740264,64.8932140977936
49.59361848488945,40.38528451662726,20.185445156208594,66.12482464651926
50.534857480748414,41.1677224621458,20.379039182406853,67.37980997433122
51.493960283975944,41.99682542795532,20.580164952671097,68.65861371196793
52.47126593238833,42.87673611912436,20.789233033185766,69.96168790985111
53.46711989841213,43.81210188098208,21.006684146007657,71.28949319788283
54.48187421120712,44.80815397085149,21.232991992291677,72.64249894827616
55.5158875811066,45.87080225766288,21.468666398821156,74.02118344147546
56.56952552641968,47.006748969884455,21.714256831877208,75.42603403522624
57.64316050264,48.22362611685892,21.97035632947118,76.85754733685333
58.73717203410696,49.53016253819472,22.237605911228652,78.31622937880928
59.851946848165376,50.93638831142239,22.516699535013608,79.80259579755383
60.98787901187177,52.453886642371195,22.808389681043494,81.31717201582903
62.14537007129489,54.09610662481487,23.113493658169606,82.8604934283932
63.324829193460204,55.87875475007817,23.43290074368177,84.43310559128028
64.52667331098819,57.820289313161865,23.76758028806311,86.03556441465092
65.75132726947801,59.94255071116041,24.118590940349332,87.66843635930401
66.999223977688,62.27157330255786,24.48709117911878,89.33229863691734
68.27080456056686,64.8386429206508,24.874351369897838,91.02773941408914
69.56651851518887,67.68169136558271,25.281767613490636,92.75535802025183
70.88682386964874,70.84716017666905,25.710877703456234,94.51576515953165
72.23218734497225,74.39252887769274,26.163379577261004,96.30958312662966
73.60308452009956,78.38980153646014,26.641152727896078,98.13744602679941
75.0,82.93040399889277,27.14628314535453,100.0
