rank,name,summary,p_feasible,p_min_targets,ad_max,feasible,pareto_rank,refined,compressive_strength_q50,compressive_strength_q10,compressive_strength_q90,compressive_strength_p,compressive_strength_ad,shear_stress_at_rate@50/s_q50,shear_stress_at_rate@50/s_q10,shear_stress_at_rate@50/s_q90,shear_stress_at_rate@50/s_p,shear_stress_at_rate@50/s_ad,shear_stress_at_rate@150/s_q50,shear_stress_at_rate@150/s_q10,shear_stress_at_rate@150/s_q90,shear_stress_at_rate@150/s_p,shear_stress_at_rate@150/s_ad,static_yield_stress_at_rest@1200s_q50,static_yield_stress_at_rest@1200s_q10,static_yield_stress_at_rest@1200s_q90,static_yield_stress_at_rest@1200s_p,static_yield_stress_at_rest@1200s_ad,powder_kg_m3,cost_per_kg_powder,co2_per_kg_powder,cost_per_m3,co2_per_m3,clinker_fraction,co2_per_mpa,cost_per_mpa,analogue_doi,analogue_distance
1,cand_01,"portland_cement 0.50 / limestone_powder 0.16 / fly_ash_class_F 0.34; w/b 0.355; s/b 1.41; superplasticiser_pce 1.16%, vma_cellulose 0.07%",0.10285445553806144,0.45205767391299245,0.5074846063704864,True,0,True,44.25965699827895,25.461480851529164,70.67006715810773,0.7360680572909841,0.5074846063704864,463.7647627655522,66.61600172146436,1586.7484159671337,0.45205767391299245,0.47709109485797574,885.9568075040835,138.72521409999115,4337.194714623073,0.6604453056668862,0.47709109485797574,1000.5484827719191,41.39899031437763,8979.4319249314,0.46803080075796866,0.32765777084566095,775.2464856590816,0.14732030095250329,0.4639167694821441,114.20954557966643,359.64984517934647,0.4999999999999999,14.125252465735773,4.4855814257483475,10.3390/ma18225123,0.16148928366357826
2,cand_02,portland_cement 0.50 / limestone_powder 0.17 / fly_ash_class_F 0.33; w/b 0.318; s/b 1.23; superplasticiser_pce 0.21%,0.13835214798754408,0.4787591863789481,0.4946625184039224,True,0,True,48.51617155328033,24.490363980994484,78.0872956267116,0.7645332520948697,0.4946625184039224,378.2663685408394,57.776824966095205,1189.5526601236659,0.5093835845332241,0.3856652112548929,813.6064969431725,122.39734223796006,3153.9878014346123,0.742040247546504,0.3856652112548929,978.6335590238077,45.041452126633835,13521.96019145304,0.4787591863789481,0.2890692857452118,853.2950539298512,0.10952532392906833,0.44370024046156253,93.45741718873877,378.60722061333695,0.4999999999999999,15.459436246319227,3.816089350949031,10.3390/ma18225123,0.17371157448600566
3,cand_03,"portland_cement 0.50 / silica_fume 0.12 / fly_ash_class_F 0.38; w/b 0.395; s/b 1.58; superplasticiser_pce 0.73%, vma_cellulose 0.07%",0.12453515749093266,0.4729163932644599,0.4774816642886088,True,0,True,48.16460252256507,26.4138260604466,75.02668075601254,0.7810238922960473,0.4774816642886088,503.3191578256599,84.51806708055685,1375.8040870146801,0.4918425865184148,0.3741768602103951,984.5892549281048,177.93380288688306,3677.8024252198175,0.6855153063779227,0.3741768602103951,907.7712251236345,46.00434855828233,12078.850826207883,0.4729163932644599,0.38473455987538513,710.7119193935805,0.2092457316461622,0.4546746759061633,148.71343556315801,323.14271161292345,0.4999999999999999,12.233847185690895,5.630136097013565,10.1016/j.conbuildmat.2010.04.018,0.4927730639603681
4,cand_04,portland_cement 0.50 / silica_fume 0.11 / fly_ash_class_F 0.39; w/b 0.281; s/b 1.63; superplasticiser_pce 0.25%,0.14635258479707536,0.47860762416280356,0.424652932493762,True,0,True,60.173390251199294,34.71847055364328,94.21213869658698,0.8974898659489103,0.424652932493762,460.01807353217873,79.39588557235152,1367.1787530722418,0.4938342512862136,0.28625430495125,989.8717431691372,174.13853613589,3601.5284882738715,0.6899379321526545,0.28625430495125,863.8860808254387,41.629101078901115,16059.342246174743,0.47860762416280356,0.36856005431261224,766.5161520484659,0.18091766958630393,0.4441602224004684,138.67631592886946,340.4559845673978,0.4999999999999999,9.806191895503044,3.994309476121697,10.3389/fmats.2021.712551,0.40739105688329413
5,cand_05,"portland_cement 0.50 / limestone_powder 0.17 / fly_ash_class_F 0.33; w/b 0.315; s/b 1.80; superplasticiser_pce 0.22%, vma_cellulose 0.08%",0.11096346013686562,0.4441755168835963,0.47419333491550797,True,0,True,47.94690478425823,24.565518592326576,77.81487298595123,0.7610331018429246,0.47419333491550797,646.715407158119,78.16241008701492,1413.0056860122222,0.4441755168835963,0.4030194549236239,1107.6018007858588,172.61448010464696,3471.9688199337697,0.6857021017442525,0.4030194549236239,1079.0884231821308,51.97908247049819,11189.45313242129,0.4787252630842871,0.2968459496970183,720.1988987834405,0.12747279011727466,0.44819277323976725,91.80576306731386,322.78794172997664,0.4999999999999999,13.139878994079307,3.73717993057109,10.3390/ma18225123,0.18792480367894945
6,cand_06,"portland_cement 0.50 / limestone_powder 0.21 / fly_ash_class_F 0.29; w/b 0.282; s/b 0.80; superplasticiser_pce 1.13%, vma_cellulose 0.07%",0.12528584001486384,0.48200260273548445,0.5545188972183472,True,1,False,49.64309750453201,23.89570816158037,84.84421291283348,0.7669520983907407,0.5545188972183472,490.59154347584257,64.74730074386534,1368.7489779341759,0.4832812972209637,0.501191692270899,833.0866725427179,143.10977203715328,3665.1145744471996,0.7012685741312722,0.501191692270899,1170.3247678776936,48.4265877019633,10532.470104687494,0.48200260273548445,0.3283263847764306,1022.1067346185121,0.13421128235686677,0.4613192269942114,137.1782555587402,471.5174887197896,0.5,19.732308644357214,5.740706851253567,10.3390/ma18225123,0.39100520256724147
7,cand_07,"portland_cement 0.53 / silica_fume 0.15 / fly_ash_class_F 0.32; w/b 0.410; s/b 1.56; superplasticiser_pce 0.85%, vma_cellulose 0.05%",0.12261387832628264,0.47531990199517293,0.5121519379564454,True,3,False,45.09598082807946,27.733299837792107,67.7087435393425,0.7719219804281627,0.5121519379564454,474.45688081949913,83.42237198003545,1409.725679710637,0.48803203619197233,0.4282975628106664,908.9440864063725,178.85173755947977,3815.7608494302176,0.6847497642996676,0.4282975628106664,866.5303406754322,46.136143181682684,13980.911133377023,0.47531990199517293,0.40470672096566757,708.9005549972502,0.22785297692666,0.48577313341671463,161.52510180108493,344.36484388186227,0.5347455214709044,12.417016579202633,5.824229455052984,10.1016/j.cemconcomp.2021.103974,0.36286576209846083
8,cand_08,portland_cement 0.54 / limestone_powder 0.25 / fly_ash_class_F 0.21; w/b 0.307; s/b 0.81; superplasticiser_pce 0.25%,0.12677891483878015,0.47158489973167006,0.5342762990959644,True,4,False,50.197424376968634,23.07251267617313,80.73827736359365,0.7636281350721996,0.5342762990959644,326.06733869179084,52.66616886039469,1231.3314985879506,0.47158489973167006,0.3614347336622317,681.7321929542918,114.220241843668,3410.662779458069,0.7320683911430501,0.3614347336622317,971.4903434476005,41.35866809580358,15112.131688837708,0.4808986556757796,0.24250335935703024,1010.0566104804806,0.10444026239329315,0.47443242685409415,105.49057743066169,479.20360897027484,0.536284998524934,20.76945912636321,4.572132169185079,10.1016/j.cemconcomp.2024.105869,0.4668826979126882
