rank,name,summary,p_feasible,p_min_targets,ad_max,feasible,pareto_rank,refined,compressive_strength_q50,compressive_strength_q10,compressive_strength_q90,compressive_strength_p,compressive_strength_ad,shear_stress_at_rate@50/s_q50,shear_stress_at_rate@50/s_q10,shear_stress_at_rate@50/s_q90,shear_stress_at_rate@50/s_p,shear_stress_at_rate@50/s_ad,shear_stress_at_rate@150/s_q50,shear_stress_at_rate@150/s_q10,shear_stress_at_rate@150/s_q90,shear_stress_at_rate@150/s_p,shear_stress_at_rate@150/s_ad,static_yield_stress_at_rest@1200s_q50,static_yield_stress_at_rest@1200s_q10,static_yield_stress_at_rest@1200s_q90,static_yield_stress_at_rest@1200s_p,static_yield_stress_at_rest@1200s_ad,powder_kg_m3,cost_per_kg_powder,co2_per_kg_powder,cost_per_m3,co2_per_m3,clinker_fraction,co2_per_mpa,cost_per_mpa,analogue_doi,analogue_distance
1,cand_01,"portland_cement 0.50 / limestone_powder 0.12 / fly_ash_class_F 0.38; w/b 0.293; s/b 1.07; superplasticiser_pce 0.51%, vma_cellulose 0.04%",0.14831944997626673,0.4550032215866755,0.56151585332323,True,0,True,41.4672035885431,26.030834315371585,81.56430216629171,0.7043376560002486,0.56151585332323,479.3131967463215,75.8205736020497,1061.2395342637883,0.5724770711908421,0.33101729054153006,857.4796495627488,162.24471533755883,2536.336298631447,0.8084341112006435,0.33101729054153006,669.0121073438129,127.6267765071413,10090.846471550336,0.4550032215866755,0.3196605625164307,917.0996077028875,0.11883153645785997,0.4483520215308198,108.98035546823476,411.1834630587114,0.4999999999999999,15.796015528242275,4.186587112341623,10.3390/ma18225123,0.239834069393125
2,cand_02,"portland_cement 0.50 / silica_fume 0.12 / fly_ash_class_F 0.38; w/b 0.287; s/b 1.12; superplasticiser_pce 0.21%, vma_cellulose 0.02%",0.13109825225433513,0.4533146065693592,0.491667877275724,True,0,True,56.936854760695425,35.65033111581227,99.90239760558624,0.9067000669383556,0.491667877275724,469.12458013082744,82.57044408563644,1487.9616847919506,0.4752324190626331,0.29063241616424806,913.7555829608596,170.32515785721438,4055.26087312913,0.6711621888636334,0.29063241616424806,612.7589699371986,88.89049042817686,10306.956740020389,0.4533146065693592,0.3629860832735797,898.1727524856406,0.18002104180814538,0.4412199170527185,161.68999462615452,396.2917073507262,0.4999999999999999,11.116073678624428,4.535441595223751,10.1016/j.conbuildmat.2010.04.018,0.4874857169997285
3,cand_03,"portland_cement 0.50 / limestone_powder 0.20 / fly_ash_class_F 0.30; w/b 0.316; s/b 1.21; superplasticiser_pce 0.11%, vma_cellulose 0.07%",0.1459663692678904,0.4356943449219153,0.48396236852649704,True,0,True,39.74791049760863,23.153108350555748,73.00332902474288,0.6430646200617495,0.48396236852649704,448.8235184734614,73.57379128632755,941.3207822700132,0.6218692716579239,0.381365763071948,859.3892110604384,154.15775134929237,2342.9881077297277,0.8377552701843964,0.381365763071948,633.1611894369805,119.61336725891204,7495.015711226695,0.4356943449219153,0.272764489613812,862.9674282951637,0.11145504118318243,0.44369161734108264,96.1820702603825,382.89141397295595,0.4999999999999999,16.537365444660278,4.154175275479753,10.3390/ma18225123,0.34169489724294644
4,cand_04,"portland_cement 0.50 / limestone_powder 0.11 / fly_ash_class_F 0.39; w/b 0.304; s/b 1.67; superplasticiser_pce 0.66%, vma_cellulose 0.02%",0.16826603799264594,0.4477386279567519,0.5090457485306517,True,1,False,41.23748816729566,23.381629872373654,74.14949007849795,0.6728069526747792,0.5090457485306517,514.9989698179304,81.73742377419708,988.922439722902,0.6038165261099446,0.3521752150372599,1453.4004321408602,155.24646082121347,1939.8374590128337,0.9250739231940992,0.3521752150372599,646.9251003855204,113.69907588384594,8968.482904449836,0.4477386279567519,0.32779077457145545,747.2083540263477,0.13396747666370976,0.4535227377693893,100.10161773095372,338.8759784021883,0.5,14.49325732431442,4.281207866061888,10.1016/j.cemconcomp.2021.104174,0.24538404165582423
5,cand_05,portland_cement 0.50 / limestone_powder 0.26 / fly_ash_class_F 0.24; w/b 0.285; s/b 1.27; superplasticiser_pce 1.04%,0.18595961875080816,0.4593782244669651,0.5740379181007457,True,2,True,43.27229801901935,20.653058478673973,93.569503104764,0.6803538305170868,0.5740379181007457,354.56892419811686,53.49010911431651,804.2134697180039,0.6425838476963307,0.46026473781977867,848.8040785139347,108.46801011194172,1868.92655896474,0.9259416151518076,0.46026473781977867,588.4960008958635,66.85597410261963,12040.810845007209,0.4593782244669651,0.2851741418955082,865.3126808257327,0.13428195274934887,0.46150441062053127,116.19587652005345,399.3456187669517,0.5000000000000001,19.335907036689495,5.626085678304523,10.1016/j.powtec.2016.05.054,0.521337109940857
6,cand_06,portland_cement 0.55 / silica_fume 0.15 / limestone_powder 0.30; w/b 0.282; s/b 1.43; superplasticiser_pce 0.10%,0.16847963772023355,0.48408288061995886,0.8029993158344659,True,3,True,57.232898943152954,30.49297031034436,92.88876283430824,0.8566853911728322,0.8029993158344659,481.5119561331712,68.29467981077318,1095.5449029680863,0.5555751048301785,0.45109638276551445,1112.7206752467741,118.2221534175338,2956.898403134661,0.7312460914467073,0.45109638276551445,642.8523420486072,30.94184444379115,28167.517723360063,0.48408288061995886,0.43086538865442137,833.9480896038659,0.1968286958049704,0.4886261282526506,164.14491484577553,407.48882618683155,0.55,13.363369394309089,5.383041178841518,10.1016/j.conbuildmat.2011.06.064,0.32138426830149197
7,cand_07,portland_cement 0.55 / silica_fume 0.15 / limestone_powder 0.30; w/b 0.331; s/b 1.35; superplasticiser_pce 0.46%,0.19421653856235965,0.4765607872413288,0.797597449178588,True,3,True,51.87558349542927,34.94018919288258,87.31700688181265,0.8992033783788207,0.797597449178588,470.8504584279105,63.84573432387028,1025.4238407550465,0.5796845587274413,0.45194432469095014,1111.346012756236,112.69509995451276,2574.3725405393393,0.7818406433546032,0.45194432469095014,535.7399665164241,32.05319517516499,21556.441465227166,0.4765607872413288,0.42095927390746973,818.2263588115388,0.20611611087707,0.4950978246016751,168.6496348953404,405.1020902793425,0.55,11.594158464427062,4.8268094361004446,10.1016/j.conbuildmat.2011.06.064,0.321401441766828
8,cand_08,portland_cement 0.57 / limestone_powder 0.29 / fly_ash_class_F 0.14; w/b 0.289; s/b 1.07; superplasticiser_pce 1.41%,0.15296223687852753,0.47821488650746413,0.6039728054987267,True,4,False,46.674747390848694,19.799502559147147,95.98400038608155,0.7111381394693426,0.6039728054987267,288.9810483379303,48.30210782359953,919.3677808203848,0.532748993119047,0.5016254219785229,557.4922982283904,103.82887179790416,2383.8784286921564,0.8442761595419562,0.5016254219785229,690.5816453177376,65.22380171764694,19677.013757865716,0.47821488650746413,0.2906268629551239,928.8038918768196,0.14674150775768163,0.5269846404012744,136.29408350520723,489.4653849640099,0.5702300833227734,24.721095062960682,6.883712512375261,10.1016/j.powtec.2016.05.054,0.30050481223520964
