n,rmse,mae,r2,medape,spearman,slice,level,coverage
30,5.9677993145881025,4.387641827522704,-0.674836479417114,0.7972548620984481,-0.7444067046853763,age_d,28.0,0.7666666666666667
39,5.96835591612843,4.509737157857176,-0.7919964626116431,0.7857088361658549,-0.6687982056882176,comparability_group,split_tensile,0.7692307692307693
21,5.801879792905021,5.0554082994437906,-1.3227854331890718,0.8008478139093617,-0.8943650621082273,binder_family,opc,0.7619047619047619
43,5.690362318456784,4.168414523384078,-0.711092383129458,0.7608746152675131,-0.6744056014599413,system_type,mortar,0.7906976744186046
44,5.6253809614872035,4.077376148720602,-0.7026074317696032,0.7563530255376056,-0.672263610268848,is_3dcp,1,0.7954545454545454
22,6.4588973656689666,4.91129469979196,-0.7231493289533435,0.7513658923210593,-0.7139117637596504,curing_type,unknown,0.8181818181818182
