curve_uid,mix_uid,paper_uid,test_uid,kind,tau0,mu,r2,n,xmin,xmax,tau_10,tau_50,tau_100
10.1016/j.conbuildmat.2025.141714::M8::CV1,10.1016/j.conbuildmat.2025.141714::M8,10.1016/j.conbuildmat.2025.141714,10.1016/j.conbuildmat.2025.141714::T4,shear_stress,57.499999999999964,2.1000000000000005,0.9972862957937585,4,25.0,100.0,,165.0,270.0
10.1016/j.conbuildmat.2025.141714::M9::CV1,10.1016/j.conbuildmat.2025.141714::M9,10.1016/j.conbuildmat.2025.141714,10.1016/j.conbuildmat.2025.141714::T4,shear_stress,32.49999999999989,2.7200000000000006,0.9997837837837837,4,25.0,100.0,,170.0,305.0
10.1016/j.conbuildmat.2025.141714::M10::CV1,10.1016/j.conbuildmat.2025.141714::M10,10.1016/j.conbuildmat.2025.141714,10.1016/j.conbuildmat.2025.141714::T4,shear_stress,33.99999999999997,2.092000000000001,0.9995395662421662,4,25.0,100.0,,140.0,242.0
10.1016/j.jclepro.2022.130478::M1::CV1,10.1016/j.jclepro.2022.130478::M1,10.1016/j.jclepro.2022.130478,10.1016/j.jclepro.2022.130478::T2,shear_stress,15.422222222222219,0.7111111111111114,0.9891728718051922,10,3.0,30.0,22.833333333333332,,
10.1016/j.jclepro.2022.130478::M2::CV1,10.1016/j.jclepro.2022.130478::M2,10.1016/j.jclepro.2022.130478,10.1016/j.jclepro.2022.130478::T2,shear_stress,21.0714285714286,3.863095238095235,0.9991349706688638,9,3.0,27.0,60.666666666666664,,
10.1016/j.jclepro.2022.130478::M3::CV1,10.1016/j.jclepro.2022.130478::M3,10.1016/j.jclepro.2022.130478,10.1016/j.jclepro.2022.130478::T2,shear_stress,17.63690476190477,0.9424603174603162,0.9846987094718742,9,3.0,27.0,26.833333333333332,,
10.1016/j.jclepro.2022.130478::M4::CV1,10.1016/j.jclepro.2022.130478::M4,10.1016/j.jclepro.2022.130478,10.1016/j.jclepro.2022.130478::T2,shear_stress,13.922619047619055,3.8948412698412676,0.9989044987874569,8,6.0,27.0,53.833333333333336,,
10.1016/j.jclepro.2022.130478::M5::CV1,10.1016/j.jclepro.2022.130478::M5,10.1016/j.jclepro.2022.130478,10.1016/j.jclepro.2022.130478::T2,shear_stress,16.022540983606618,4.42554644808743,0.9865622175623104,8,3.0,27.0,62.66666666666667,,
10.1016/j.jobe.2022.105484::M1::CV2,10.1016/j.jobe.2022.105484::M1,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,180.9999999999994,15.850000000000005,0.9787762496590954,5,20.0,100.0,,1035.0,1690.0
10.1016/j.jobe.2022.105484::M2::CV2,10.1016/j.jobe.2022.105484::M2,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,74.00000000000011,9.999999999999998,0.9922603691208574,5,20.0,100.0,,590.0,1040.0
10.1016/j.jobe.2022.105484::M3::CV2,10.1016/j.jobe.2022.105484::M3,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,35.999999999999964,7.400000000000001,0.9992700729927008,5,20.0,100.0,,410.0,780.0
10.1016/j.jobe.2022.105484::M4::CV2,10.1016/j.jobe.2022.105484::M4,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,27.99999999999986,7.200000000000002,0.9998071359691417,5,20.0,100.0,,390.0,750.0
10.1016/j.jobe.2022.105484::M5::CV2,10.1016/j.jobe.2022.105484::M5,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,44.00000000000006,9.2,0.9995276334435522,5,20.0,100.0,,510.0,960.0
10.1016/j.jobe.2022.105484::M6::CV2,10.1016/j.jobe.2022.105484::M6,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,103.99999999999956,10.100000000000005,0.9860802319961334,5,20.0,100.0,,635.0,1070.0
10.1016/j.jobe.2022.105484::M7::CV2,10.1016/j.jobe.2022.105484::M7,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,-11.000000000000101,8.15,0.9992853919061231,5,20.0,100.0,,395.0,800.0
10.1016/j.jobe.2022.105484::M8::CV2,10.1016/j.jobe.2022.105484::M8,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,-12.999999999999972,7.05,0.9980421686746987,5,20.0,100.0,,345.0,680.0
10.1016/j.jobe.2022.105484::M9::CV2,10.1016/j.jobe.2022.105484::M9,10.1016/j.jobe.2022.105484,10.1016/j.jobe.2022.105484::T1,shear_stress,-39.99999999999998,6.5,1.0,5,20.0,100.0,,285.0,610.0
10.1016/j.jobe.2023.106120::M1::CV1,10.1016/j.jobe.2023.106120::M1,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,65.95238095238103,0.22476190476190416,0.9945714285714286,9,0.1,100.0,65.0,77.66666666666667,88.0
10.1016/j.jobe.2023.106120::M2::CV1,10.1016/j.jobe.2023.106120::M2,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,54.28571428571432,0.18476190476190466,0.9823212110666434,9,0.1,100.0,53.0,64.0,72.0
10.1016/j.jobe.2023.106120::M3::CV1,10.1016/j.jobe.2023.106120::M3,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,44.619047619047656,0.15809523809523776,0.9890882986360373,9,0.1,100.0,45.0,53.0,60.0
10.1016/j.jobe.2023.106120::M4::CV1,10.1016/j.jobe.2023.106120::M4,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,324.71428571428584,0.5352380952380938,0.9835904249797579,9,0.1,100.0,335.0,350.6666666666667,381.0
10.1016/j.jobe.2023.106120::M5::CV1,10.1016/j.jobe.2023.106120::M5,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,281.1904761904766,0.3409523809523774,0.9918278904194399,9,0.1,100.0,285.0,297.3333333333333,316.0
10.1016/j.jobe.2023.106120::M6::CV1,10.1016/j.jobe.2023.106120::M6,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,shear_stress,283.2380952380955,0.40952380952380685,0.9992794091154747,9,0.1,100.0,284.0,304.0,324.0
10.1016/j.jobe.2023.106120::M1::CV2,10.1016/j.jobe.2023.106120::M1,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,166.6190476190477,-0.715238095238096,0.8261350181510136,9,0.1,100.0,250.0,142.0,90.0
10.1016/j.jobe.2023.106120::M2::CV2,10.1016/j.jobe.2023.106120::M2,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,124.71428571428584,-0.4047619047619056,0.9421373368917941,9,0.1,100.0,220.0,105.66666666666667,80.0
10.1016/j.jobe.2023.106120::M3::CV2,10.1016/j.jobe.2023.106120::M3,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,95.23809523809531,-0.3438095238095243,0.9801150678750048,9,0.1,100.0,200.0,78.0,60.0
10.1016/j.jobe.2023.106120::M4::CV2,10.1016/j.jobe.2023.106120::M4,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,328.1904761904765,0.7542857142857128,0.9030145400451077,9,0.1,100.0,300.0,358.3333333333333,400.0
10.1016/j.jobe.2023.106120::M5::CV2,10.1016/j.jobe.2023.106120::M5,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,277.1428571428574,0.23904761904761673,0.4618220913611305,9,0.1,100.0,260.0,290.6666666666667,300.0
10.1016/j.jobe.2023.106120::M6::CV2,10.1016/j.jobe.2023.106120::M6,10.1016/j.jobe.2023.106120,10.1016/j.jobe.2023.106120::T1,apparent_viscosity,306.4761904761906,0.03904761904761879,0.020687109014459693,9,0.1,100.0,280.0,308.3333333333333,310.0
10.1016/j.jobe.2023.106355::M1::CV1,10.1016/j.jobe.2023.106355::M1,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,-1.348399525785438,1.0392708950800238,0.9964099690844248,6,1.0,100.0,12.578947368421051,49.5,105.0
10.1016/j.jobe.2023.106355::M5::CV1,10.1016/j.jobe.2023.106355::M5,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,21.131100573009284,1.5162023315550281,0.9983763325342182,6,1.0,100.0,41.473684210526315,96.5,175.0
10.1016/j.jobe.2023.106355::M9::CV1,10.1016/j.jobe.2023.106355::M9,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,15.93764350453175,2.6998187311178246,0.9961955220226159,6,1.0,100.0,60.5,151.0,290.0
10.1016/j.jobe.2023.106355::M13::CV1,10.1016/j.jobe.2023.106355::M13,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,74.71516616314203,2.233474320241691,0.997175388605347,7,1.0,100.0,108.85714285714286,186.5,301.0
10.1016/j.jobe.2023.106355::M2::CV1,10.1016/j.jobe.2023.106355::M2,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,70.64833836858013,1.8652567975830805,0.99844767368458,7,1.0,100.0,102.18181818181819,164.0,259.0
10.1016/j.jobe.2023.106355::M3::CV1,10.1016/j.jobe.2023.106355::M3,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,216.40485935731073,1.6925890446747376,0.9937518327784612,6,1.0,100.0,298.7142857142857,297.0,389.0
10.1016/j.jobe.2023.106355::M4::CV1,10.1016/j.jobe.2023.106355::M4,10.1016/j.jobe.2023.106355,10.1016/j.jobe.2023.106355::T1,shear_stress,462.4375400726649,1.2766082496259912,0.9775029133544975,6,1.0,100.0,649.7391304347826,521.5,596.0
10.1016/j.jobe.2023.107410::M1::CV1,10.1016/j.jobe.2023.107410::M1,10.1016/j.jobe.2023.107410,10.1016/j.jobe.2023.107410::T4,apparent_viscosity,-1310.0625000000473,891.0803571428573,0.9976098207830941,8,23.0,163.0,,44559.775,86406.225
10.1016/j.jobe.2024.111335::M1::CV1,10.1016/j.jobe.2024.111335::M1,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,16.95,0.20916666666666686,0.9868577694235589,10,10.0,100.0,17.0,28.0,37.0
10.1016/j.jobe.2024.111335::M5::CV1,10.1016/j.jobe.2024.111335::M5,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,26.15555555555555,0.19000000000000014,0.9902971805943612,10,10.0,100.0,26.0,36.0,44.5
10.1016/j.jobe.2024.111335::M2::CV1,10.1016/j.jobe.2024.111335::M2,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,35.08888888888889,0.26333333333333353,0.9885427666314678,10,10.0,100.0,34.0,49.0,61.0
10.1016/j.jobe.2024.111335::M6::CV1,10.1016/j.jobe.2024.111335::M6,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,71.63333333333334,0.22000000000000017,0.9615894039735099,10,10.0,100.0,70.0,84.0,92.0
10.1016/j.jobe.2024.111335::M3::CV1,10.1016/j.jobe.2024.111335::M3,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,84.20000000000002,0.2633333333333335,0.9328849028400598,10,10.0,100.0,79.0,99.0,108.0
10.1016/j.jobe.2024.111335::M7::CV1,10.1016/j.jobe.2024.111335::M7,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,98.98888888888885,0.4150000000000009,0.9740416841223294,10,10.0,100.0,96.0,122.0,139.0
10.1016/j.jobe.2024.111335::M4::CV1,10.1016/j.jobe.2024.111335::M4,10.1016/j.jobe.2024.111335,10.1016/j.jobe.2024.111335::T1,shear_stress,132.9444444444444,0.625000000000001,0.9684028096593517,10,10.0,100.0,126.0,168.0,192.0
10.1016/j.jobe.2025.114982::M1::CV1,10.1016/j.jobe.2025.114982::M1,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,369.29824561403564,50.631578947368396,0.9997833581616787,7,5.0,50.0,880.0,2900.0,
10.1016/j.jobe.2025.114982::M2::CV1,10.1016/j.jobe.2025.114982::M2,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,391.92982456140413,51.26315789473683,0.9997313467984041,7,5.0,50.0,900.0,2950.0,
10.1016/j.jobe.2025.114982::M3::CV1,10.1016/j.jobe.2025.114982::M3,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,599.7192982456141,52.252631578947366,0.9990578644639536,7,5.0,50.0,1090.0,3200.0,
10.1016/j.jobe.2025.114982::M4::CV1,10.1016/j.jobe.2025.114982::M4,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,453.2982456140356,51.0315789473684,0.9994765419106674,7,5.0,50.0,940.0,3000.0,
10.1016/j.jobe.2025.114982::M5::CV1,10.1016/j.jobe.2025.114982::M5,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,636.4912280701755,25.157894736842103,0.9833946031312444,7,5.0,50.0,840.0,1850.0,
10.1016/j.jobe.2025.114982::M6::CV1,10.1016/j.jobe.2025.114982::M6,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,436.66666666666686,16.999999999999993,0.9926723150904511,7,5.0,50.0,630.0,1300.0,
10.1016/j.jobe.2025.114982::M7::CV1,10.1016/j.jobe.2025.114982::M7,10.1016/j.jobe.2025.114982,10.1016/j.jobe.2025.114982::T1,apparent_viscosity,362.385964912281,10.85263157894736,0.8767713066131437,7,5.0,50.0,570.0,950.0,
10.1016/j.petrol.2020.107660::M1::CV1,10.1016/j.petrol.2020.107660::M1,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,47.99999999999999,0.2049999999999999,0.9982185273159144,4,3.0,300.0,16.04123711340206,39.1340206185567,68.0
10.1016/j.petrol.2020.107660::M2::CV1,10.1016/j.petrol.2020.107660::M2,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,45.66666666666664,0.22000000000000003,0.9972527472527473,4,3.0,300.0,18.75257731958763,40.19587628865979,67.0
10.1016/j.petrol.2020.107660::M3::CV1,10.1016/j.petrol.2020.107660::M3,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,45.000000000000014,0.21999999999999992,0.9938398357289528,4,3.0,300.0,16.824742268041238,38.68041237113402,66.0
10.1016/j.petrol.2020.107660::M4::CV1,10.1016/j.petrol.2020.107660::M4,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,43.33333333333333,0.11499999999999998,0.9291569086651056,4,3.0,300.0,13.103092783505154,30.835051546391753,53.0
10.1016/j.petrol.2020.107660::M5::CV1,10.1016/j.petrol.2020.107660::M5,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,42.99999999999998,0.12500000000000003,0.9952229299363057,4,3.0,300.0,13.24742268041237,31.804123711340207,55.0
10.1016/j.petrol.2020.107660::M6::CV1,10.1016/j.petrol.2020.107660::M6,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,62.66666666666663,0.2850000000000001,0.9397416120323949,4,3.0,300.0,22.97938144329897,51.43298969072165,87.0
10.1016/j.petrol.2020.107660::M7::CV1,10.1016/j.petrol.2020.107660::M7,10.1016/j.petrol.2020.107660,10.1016/j.petrol.2020.107660::T1,shear_stress,50.666666666666615,0.29500000000000004,0.9953297750667175,4,3.0,300.0,24.257731958762886,48.58762886597938,79.0
10.1155/2022/1029984::M1::CV1,10.1155/2022/1029984::M1,10.1155/2022/1029984,10.1155/2022/1029984::T1,shear_stress,28.938888888888876,0.5633333333333334,0.6059618104667608,10,2.5,25.0,37.0,,
10.1155/2022/1029984::M3::CV1,10.1155/2022/1029984::M3,10.1155/2022/1029984,10.1155/2022/1029984::T1,shear_stress,57.922222222222196,1.6866666666666668,0.7987811980033278,10,2.5,25.0,83.0,,
10.1155/2022/1029984::M6::CV1,10.1155/2022/1029984::M6,10.1155/2022/1029984,10.1155/2022/1029984::T1,shear_stress,61.53333333333334,2.719999999999999,0.9613305613305613,10,2.5,25.0,93.0,,
10.1155/2022/1029984::M9::CV1,10.1155/2022/1029984::M9,10.1155/2022/1029984,10.1155/2022/1029984::T1,shear_stress,67.16666666666667,4.699999999999999,0.9966012993262753,10,2.5,25.0,117.0,,
