n,rmse,mae,r2,medape,spearman,slice,level,coverage
1276,74.93792431812852,60.667140449219666,-0.05859942400825169,0.2395880750226015,0.17889240104037216,age_d,nan,0.799373040752351
62,86.2787228513158,73.10186631379099,-0.060398723871258664,0.32104281370517507,0.2671145649428426,comparability_group,flow_table,0.6774193548387096
1165,72.4680798701681,58.59550242162432,-0.062808450711209,0.23347959405234409,0.1941144424913153,comparability_group,mini_slump,0.8248927038626609
34,129.65021418160381,123.7685097723335,-0.2084008681422549,0.45272912322676057,-0.790634900060151,comparability_group,slump_cone,0.058823529411764705
380,72.24535703276906,57.64981119524271,0.1350370630017208,0.2366178255343004,0.41134582994038504,binder_family,opc,0.7447368421052631
567,81.43740683097244,67.89654283803371,-0.329465833438797,0.2616584385385872,0.0905024654780372,binder_family,blended,0.8024691358024691
54,48.273340284786066,36.9972846335086,-0.11503246948776402,0.13955915248561354,-0.11406697399415319,binder_family,lc3,1.0
176,67.29687415993149,54.06598158305046,-0.38987305101767245,0.20898077755273803,-0.25536778505911106,binder_family,aam,0.8352272727272727
26,23.520523992618156,19.768749944612555,-0.3793393196784971,0.07648496581873923,0.09470754068018095,binder_family,csa,1.0
41,89.20928162505363,76.44091544906969,-1.8825732144553236,0.6849559180809089,-0.45641517095572587,binder_family,mgo,0.926829268292683
32,65.25161942975558,53.702399234130596,-0.23946199285561698,0.2480601987179802,0.5406257398679934,binder_family,other_binder,0.59375
390,76.95377318982676,62.35143480988331,-0.1743913967211883,0.25979942743598444,0.06109091819166863,system_type,paste,0.8307692307692308
889,73.97518363671503,59.90148765873912,-0.044120241846563824,0.22910790725580155,0.14834813672340097,system_type,mortar,0.7862767154105736
1251,74.83305422009859,60.52374103676464,-0.06438597695227832,0.2366998580597178,0.1806195767985532,is_3dcp,0,0.8001598721023181
28,77.65568906397596,66.22435955289303,-0.028875113592353063,0.29177690601603484,0.23637675890255333,is_3dcp,1,0.7857142857142857
295,63.683023334219996,50.4709446035849,0.08175871054130113,0.18275440697514259,0.31699777330305046,curing_type,water,0.8949152542372881
320,69.65856683234074,51.685235813223336,0.12617726829984666,0.19393589747483642,0.4078551359582374,curing_type,moist,0.8
96,71.96390452047798,57.18899731180525,-0.060847349126657235,0.23128332072075153,0.29903650105014146,curing_type,sealed,0.7708333333333334
54,76.84615540853298,63.83690285098551,-1.6823587591508349,0.26728614162857667,-0.4534730871440006,curing_type,ambient,0.9074074074074074
87,79.4085741429849,69.11691902540352,-0.6661813947596011,0.2616584385385872,-0.7062758208460415,curing_type,heat,0.7931034482758621
427,84.6630092059728,73.04629867702093,-0.29798587832367907,0.30218786322310204,0.2380141715464267,curing_type,unknown,0.7283372365339579
