spec,shear_rate,q10,q50,q90,median_line
opc_mortar_wb040,0.0,3.561279414347218,30.05678548529329,419.0296043039326,30.05678548529329
opc_mortar_wb040,0.5,7.09036123274302,37.04585080444417,424.7303504069937,33.59299176894822
opc_mortar_wb040,0.5787432435413463,7.497549395378009,37.963243226055326,426.56659937668826,34.14989647416077
opc_mortar_wb040,0.6698874838895162,7.841315894672212,39.26555951352553,427.75320371560633,34.794506145037076
opc_mortar_wb040,0.77538571046794,8.199882130615958,40.73795247513284,428.26500422432605,35.540633128519225
opc_mortar_wb040,0.8974984821436537,8.622726969265857,42.55198398423801,429.55806790211994,36.40426502954758
opc_mortar_wb040,1.0388423652585064,9.008649231162547,44.57929895966439,431.65646032983835,37.40390728480144
opc_mortar_wb040,1.2024459999957442,9.417810251142637,46.8438152634745,433.2642438902391,38.56097968717465
opc_mortar_wb040,1.3918149964417093,9.918380655903666,49.10060233741428,436.0380224093916,39.90027535749795
opc_mortar_wb040,1.6110070509003245,10.632991761232686,51.84483814581846,439.6770776593551,41.45049199810553
opc_mortar_wb040,1.8647188920120652,11.330807268863733,55.470673513828906,444.3832713326289,43.24484681165952
opc_mortar_wb040,2.158386919711776,12.036923862938142,59.20998140242736,448.7307287801925,45.32178826138005
opc_mortar_wb040,2.4983036934624177,12.677527816722948,63.34458543364232,452.2761324264888,47.72581992389351
opc_mortar_wb040,2.89175276581153,13.392334973733087,68.18339508273735,458.01632584835806,50.508454087771774
opc_mortar_wb040,3.3471647504108475,14.125713582879518,73.31356911514067,464.76122663936917,53.7293155309555
opc_mortar_wb040,3.874297968640071,14.744836078498377,79.37889602888637,478.81418849649134,57.457419128206354
opc_mortar_wb040,4.484447545632807,15.511349052725624,86.29318429192455,486.6242335249532,61.77264866446856
opc_mortar_wb040,5.19068743610112,16.354235969478182,94.42110340305703,506.3335809254469,66.7674685413522
opc_mortar_wb040,6.008150565956953,17.217966110930604,103.65659333896548,519.0918947746505,72.54890505425703
opc_mortar_wb040,6.954353092453408,18.223218615114444,113.31936578509743,538.3223393027233,79.2408396938709
opc_mortar_wb040,8.049569730916554,19.21496513361756,123.98825323165795,567.0864258240069,86.9866636116645
opc_mortar_wb040,9.317268190365777,20.36394246374637,134.7130322637513,598.7613983873968,95.95235012783252
opc_mortar_wb040,10.784612026873802,21.56978406984957,148.2557131521266,646.7286358549319,106.33001111771652
opc_mortar_wb040,12.483042689535914,23.41931395686603,162.38008427640506,685.8903992064552,118.34201348103244
opc_mortar_wb040,14.44895323081421,24.75875406163662,180.6095964495592,744.7183798890131,132.24574389937598
opc_mortar_wb040,16.72446811715727,26.446840940394488,202.38225174171527,799.1339709269037,148.33912397864927
opc_mortar_wb040,19.358345849254857,28.57220677125209,225.06786704577019,878.5345838140888,166.9669939518938
opc_mortar_wb040,22.407023732785827,30.717107726389692,252.88916033291082,961.570499298103,188.52850172905787
opc_mortar_wb040,25.935827186440786,33.32144463738006,281.74475724030975,1065.018408086343,213.48565562225357
opc_mortar_wb040,30.02036949961715,36.37605678362087,313.74623746937345,1172.151705495221,242.37322400967096
opc_mortar_wb040,34.74817203303626,39.05776514346278,355.04814411947115,1289.386369932958,275.81019406278364
opc_mortar_wb040,40.2205395790642,41.604540863340404,401.00718751632473,1430.0640567432456,314.5130350682502
opc_mortar_wb040,46.55473106594144,44.7891153137543,449.0412797561986,1598.5246162953144,359.3110505437878
opc_mortar_wb040,53.886472118596046,47.567666793188536,505.3248086386093,1768.6883156484705,411.16414810484383
opc_mortar_wb040,62.37286331383319,51.89336952534395,569.3344544852449,1963.2607321177836,471.1834078451467
opc_mortar_wb040,72.19574644641773,56.42511588178202,646.5485402596676,2218.595293804979,540.6548899592535
opc_mortar_wb040,83.56560093657683,61.86052033590566,736.9303749298942,2510.1655256727854,621.067191743939
opc_mortar_wb040,96.72605386903257,67.32305757552089,835.036900147802,2836.5284421682236,714.1433444549289
opc_mortar_wb040,111.95910030223779,74.45544959260532,951.3484700688427,3225.404657370236,821.8777334875439
opc_mortar_wb040,129.59114570577603,82.61844125116535,1087.786014160342,3652.041547135136,946.5788329869057
opc_mortar_wb040,150.0,91.34556628420088,1237.9318975939084,4147.108259236354,1090.918670581771
